,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,56.47307462692261,0.8122511458024194,0.06325359344482422,0.008763393678471874,0.05,0.0,"{'learning_rate': 0.05, 'reg_lambda': 0.0}",0.9122807017543859,0.9035087719298246,0.911504424778761,0.8849557522123894,0.9203539823008849,0.9065207265952491,0.012029077403323053,43
1,57.51983504295349,0.4310102992083807,0.0622560977935791,0.008676056489736308,0.05,1e-05,"{'learning_rate': 0.05, 'reg_lambda': 1e-05}",0.9122807017543859,0.9035087719298246,0.911504424778761,0.8849557522123894,0.9203539823008849,0.9065207265952491,0.012029077403323053,43
2,57.980152654647824,0.33067714983646,0.061760902404785156,0.009261743301941351,0.05,0.0001,"{'learning_rate': 0.05, 'reg_lambda': 0.0001}",0.9122807017543859,0.9035087719298246,0.911504424778761,0.8849557522123894,0.9203539823008849,0.9065207265952491,0.012029077403323053,43
3,57.857119131088254,0.7298626394573605,0.06751499176025391,0.005521551482658175,0.05,0.001,"{'learning_rate': 0.05, 'reg_lambda': 0.001}",0.9122807017543859,0.9035087719298246,0.911504424778761,0.8849557522123894,0.9203539823008849,0.9065207265952491,0.012029077403323053,43
4,57.459993553161624,0.7531000780095816,0.06899476051330566,0.0044536831750972335,0.05,0.01,"{'learning_rate': 0.05, 'reg_lambda': 0.01}",0.9122807017543859,0.9035087719298246,0.911504424778761,0.8761061946902655,0.9203539823008849,0.9047508150908243,0.015282841444404782,48
5,57.86901469230652,0.6289455592391884,0.058701944351196286,0.0105878080445207,0.05,0.1,"{'learning_rate': 0.05, 'reg_lambda': 0.1}",0.9122807017543859,0.9035087719298246,0.911504424778761,0.8761061946902655,0.9203539823008849,0.9047508150908243,0.015282841444404782,48
6,58.79752426147461,0.9771549132716134,0.05592184066772461,0.0047648942079126,0.05,1.0,"{'learning_rate': 0.05, 'reg_lambda': 1.0}",0.9122807017543859,0.9035087719298246,0.911504424778761,0.8849557522123894,0.911504424778761,0.9047508150908244,0.010404891795449345,47
7,57.183248615264894,1.0482901984094024,0.07106246948242187,0.007521166962873481,0.1,0.0,"{'learning_rate': 0.1, 'reg_lambda': 0.0}",0.9298245614035088,0.9122807017543859,0.9292035398230089,0.9026548672566371,0.911504424778761,0.9170936190032604,0.010692126946340714,37
8,57.47402858734131,0.6752501304565361,0.05477681159973145,0.004637070026517572,0.1,1e-05,"{'learning_rate': 0.1, 'reg_lambda': 1e-05}",0.9298245614035088,0.9122807017543859,0.9292035398230089,0.9026548672566371,0.911504424778761,0.9170936190032604,0.010692126946340714,37
9,58.301900672912595,0.22799303478104452,0.06854357719421386,0.010746533590744393,0.1,0.0001,"{'learning_rate': 0.1, 'reg_lambda': 0.0001}",0.9298245614035088,0.9122807017543859,0.9292035398230089,0.9026548672566371,0.911504424778761,0.9170936190032604,0.010692126946340714,37
10,59.723066902160646,1.4613242567053277,0.07892837524414062,0.025667690440862787,0.1,0.001,"{'learning_rate': 0.1, 'reg_lambda': 0.001}",0.9298245614035088,0.9122807017543859,0.9292035398230089,0.9026548672566371,0.911504424778761,0.9170936190032604,0.010692126946340714,37
11,59.14286031723022,0.7678454334187002,0.06810102462768555,0.007855253599721649,0.1,0.01,"{'learning_rate': 0.1, 'reg_lambda': 0.01}",0.9298245614035088,0.9122807017543859,0.911504424778761,0.911504424778761,0.911504424778761,0.9153237074988356,0.007256657762537925,42
12,57.75725345611572,0.7855420705431967,0.06388144493103028,0.009528017882279569,0.1,0.1,"{'learning_rate': 0.1, 'reg_lambda': 0.1}",0.9298245614035088,0.9210526315789473,0.911504424778761,0.9026548672566371,0.9203539823008849,0.9170780934637479,0.009253065250751173,41
13,57.80790719985962,0.1968114485757462,0.0687706470489502,0.0033299109387601084,0.1,1.0,"{'learning_rate': 0.1, 'reg_lambda': 1.0}",0.9298245614035088,0.9298245614035088,0.911504424778761,0.9203539823008849,0.911504424778761,0.9206023909330849,0.00819395557115259,35
14,57.90276479721069,0.8398248451493154,0.06233377456665039,0.005658018511950379,0.15,0.0,"{'learning_rate': 0.15, 'reg_lambda': 0.0}",0.9298245614035088,0.9385964912280702,0.9292035398230089,0.911504424778761,0.9292035398230089,0.9276665114112715,0.008832435627372232,29
15,57.500131130218506,0.8467384675349893,0.06804280281066895,0.01292854803016427,0.15,1e-05,"{'learning_rate': 0.15, 'reg_lambda': 1e-05}",0.9298245614035088,0.9385964912280702,0.9292035398230089,0.911504424778761,0.9292035398230089,0.9276665114112715,0.008832435627372232,29
16,57.53456077575684,0.9738106080862451,0.06709446907043456,0.004359009857804746,0.15,0.0001,"{'learning_rate': 0.15, 'reg_lambda': 0.0001}",0.9298245614035088,0.9298245614035088,0.9292035398230089,0.911504424778761,0.9292035398230089,0.9259121254463591,0.007209201980279571,32
17,57.328210067749026,0.8090719448458311,0.0718696117401123,0.0023393186117110854,0.15,0.001,"{'learning_rate': 0.15, 'reg_lambda': 0.001}",0.9298245614035088,0.9298245614035088,0.9292035398230089,0.911504424778761,0.9292035398230089,0.9259121254463591,0.007209201980279571,32
18,57.054734563827516,0.5269513577106029,0.0643643856048584,0.010756925555275366,0.15,0.01,"{'learning_rate': 0.15, 'reg_lambda': 0.01}",0.9298245614035088,0.9298245614035088,0.9380530973451328,0.9026548672566371,0.9292035398230089,0.9259121254463594,0.012080984860404497,31
