,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.12260246276855469,0.06884597695914353,0.007338523864746094,0.006564572406803861,1,10,"{'max_depth': 1, 'n_estimators': 10}",0.5877192982456141,0.6052631578947368,0.48672566371681414,0.45132743362831856,0.45132743362831856,0.5164725974227605,0.06683190974913736,40
1,0.17027978897094725,0.039683691647582314,0.0036438465118408202,0.0007424448051917412,1,20,"{'max_depth': 1, 'n_estimators': 20}",0.7631578947368421,0.7017543859649122,0.6902654867256637,0.5398230088495575,0.6283185840707964,0.6646638720695544,0.0756814937543287,39
2,0.20002827644348145,0.01922030391095091,0.00406951904296875,0.0001623103116342568,1,30,"{'max_depth': 1, 'n_estimators': 30}",0.8421052631578947,0.7894736842105263,0.7522123893805309,0.672566371681416,0.6637168141592921,0.744014904517932,0.06827604854861459,37
3,0.2564810276031494,0.014654664066210228,0.004793500900268555,0.0005367965500144568,1,40,"{'max_depth': 1, 'n_estimators': 40}",0.8421052631578947,0.7631578947368421,0.7522123893805309,0.7345132743362832,0.7256637168141593,0.763530507685142,0.04142010266056363,36
4,0.313306188583374,0.012112016023748768,0.005041790008544922,0.00010779593459792877,1,50,"{'max_depth': 1, 'n_estimators': 50}",0.8333333333333334,0.7982456140350878,0.7256637168141593,0.7522123893805309,0.7699115044247787,0.775873311597578,0.037198279012531706,34
5,0.3359111785888672,0.004010483184086215,0.005182504653930664,0.0006465448374157355,1,60,"{'max_depth': 1, 'n_estimators': 60}",0.868421052631579,0.8333333333333334,0.7522123893805309,0.7610619469026548,0.7787610619469026,0.7987579568390001,0.04480124640143052,32
6,0.42006564140319824,0.01568551407007765,0.006049060821533203,0.001103584409105374,1,70,"{'max_depth': 1, 'n_estimators': 70}",0.868421052631579,0.8421052631578947,0.7876106194690266,0.7699115044247787,0.8053097345132744,0.8146716348393106,0.03595835613884851,30
7,0.4995236396789551,0.017527398899239502,0.006550502777099609,0.00047292050678014876,1,80,"{'max_depth': 1, 'n_estimators': 80}",0.868421052631579,0.8421052631578947,0.7964601769911505,0.8053097345132744,0.8407079646017699,0.8306008383791337,0.026344255885615557,28
8,0.5291917324066162,0.008315696993585532,0.00627603530883789,0.0006811268987408642,1,90,"{'max_depth': 1, 'n_estimators': 90}",0.8771929824561403,0.8859649122807017,0.7787610619469026,0.8053097345132744,0.8584070796460177,0.8411271541686073,0.041909858880367905,26
9,0.6195084571838378,0.03316489080638256,0.007151079177856445,0.00015120997251000161,1,100,"{'max_depth': 1, 'n_estimators': 100}",0.8508771929824561,0.8859649122807017,0.7964601769911505,0.7876106194690266,0.8761061946902655,0.8394038192827201,0.040431002970454134,27
10,0.1289762496948242,0.003040849164075273,0.0035276412963867188,0.000558363240819531,2,10,"{'max_depth': 2, 'n_estimators': 10}",0.6929824561403509,0.7631578947368421,0.6637168141592921,0.6283185840707964,0.6106194690265486,0.671759043626766,0.05384047136959434,38
11,0.2287604808807373,0.0035419886926244233,0.003725767135620117,0.00048099585458292104,2,20,"{'max_depth': 2, 'n_estimators': 20}",0.8245614035087719,0.8421052631578947,0.7876106194690266,0.672566371681416,0.7610619469026548,0.7775811209439528,0.05961892886099158,33
12,0.3381784439086914,0.008865435667841202,0.0045779705047607425,0.0003587110835812801,2,30,"{'max_depth': 2, 'n_estimators': 30}",0.8771929824561403,0.8596491228070176,0.8230088495575221,0.7876106194690266,0.8053097345132744,0.8305542617605962,0.03334683499808911,29
13,0.4354663372039795,0.014246370621870877,0.004698610305786133,0.0006308453711150358,2,40,"{'max_depth': 2, 'n_estimators': 40}",0.8947368421052632,0.868421052631579,0.8495575221238938,0.8407079646017699,0.8584070796460177,0.8623660922217047,0.01861899961928896,24
14,0.49511427879333497,0.006991819169090831,0.007654523849487305,0.005990490041150451,2,50,"{'max_depth': 2, 'n_estimators': 50}",0.8859649122807017,0.9035087719298246,0.8495575221238938,0.8495575221238938,0.9026548672566371,0.8782487191429901,0.024247224756060688,22
15,0.6372176170349121,0.05278368399218101,0.0064545154571533205,0.0004592107559889564,2,60,"{'max_depth': 2, 'n_estimators': 60}",0.9035087719298246,0.9122807017543859,0.8495575221238938,0.8407079646017699,0.911504424778761,0.883511877037727,0.03161068473594695,20
16,0.7865818977355957,0.06284435936481514,0.006098222732543945,0.00013796872618522537,2,70,"{'max_depth': 2, 'n_estimators': 70}",0.8859649122807017,0.9210526315789473,0.8584070796460177,0.8495575221238938,0.9203539823008849,0.8870672255860891,0.029975366242435346,19
17,0.841452693939209,0.012644547717614326,0.006558942794799805,0.0004179082684257655,2,80,"{'max_depth': 2, 'n_estimators': 80}",0.8947368421052632,0.9122807017543859,0.8584070796460177,0.8672566371681416,0.9203539823008849,0.8906070485949386,0.02430539946074562,17
18,0.9305638790130615,0.02696567046719648,0.006961250305175781,0.0007307404692862168,2,90,"{'max_depth': 2, 'n_estimators': 90}",0.8947368421052632,0.9298245614035088,0.8672566371681416,0.8938053097345132,0.9292035398230089,0.9029653780468871,0.023818424357416684,14
19,1.025875997543335,0.0947206375187263,0.007453632354736328,0.0009232267267517648,2,100,"{'max_depth': 2, 'n_estimators': 100}",0.9035087719298246,0.9298245614035088,0.8761061946902655,0.8849557522123894,0.9203539823008849,0.9029498525073747,0.020346182509110286,15
